date,latitude,longitude,o3,pm25,pm10,no2,so2,co,nh3
1/1/2020,19.0645,72.9075,12.67,3.41,3.15,7.12,15.34,0.89,8.23
1/1/2020,19.0671,72.8929,9.1,4.29,8.75,49.95,30.28,1.24,15.87
1/1/2020,19.0518,72.8819,74.2,9.02,54.58,216.21,194.45,15.88,26.05
1/1/2020,19.0384,72.9122,32.84,12.13,15.39,38.95,9.06,2.87,19.24
1/1/2020,19.0641,72.9238,41.09,13.05,10.73,71.39,23.44,5.31,17.28
1/1/2020,19.0683,72.9252,1.69,25.91,23.93,181.47,160.36,0.02,41.46
1/1/2020,19.0441,72.9069,26.03,2.2,4.88,47.88,11.46,2.5,5.01
1/1/2020,19.031,72.9258,29.03,7.23,6.72,4.42,19.2,2.23,19.59
1/1/2020,19.0212,72.8991,11.45,17.36,37.09,105.38,171.04,8.32,70.84
1/1/2020,19.0214,72.9271,36.19,10.58,13.35,65.59,46.19,5.07,12.19
1/1/2020,19.0025,72.8982,28.41,8.4,45.96,180.58,142.96,1.98,79.55
1/1/2020,18.9979,72.9027,105.21,33.24,50.55,197.6,221.54,9.51,32.87
1/1/2020,19.0077,72.9012,84.63,9.92,48.7,186.89,214.81,10.38,79.78
1/1/2020,19.0443,72.9363,17.39,4.06,9.9,54.79,55.02,3.49,1.73
1/1/2020,19.0421,72.9013,9.19,2.19,4.73,23.24,7.29,1.61,1.23
1/1/2020,19.0314,72.9465,3.31,3.58,2.49,22.44,3.02,0.32,7.33
1/1/2020,19.0324,72.8842,2.71,10.33,27.3,58.76,81.67,0.23,26.67
1/1/2020,18.9987,72.901,90.95,25.92,29.34,101.79,294.15,0.8,2.27
1/1/2020,18.999,72.9002,144.15,8.32,9.29,57.91,240.22,20.61,2.39
1/1/2020,18.9984,72.9001,63.84,4.57,19.49,60.73,194.08,7.71,18.93
1/1/2020,18.9979,72.9012,67.99,1.59,6.81,244.59,53.83,7.1,69.14
1/1/2020,19.0027,72.8941,113.17,37.2,11.44,166.48,260.97,1.15,63.9
1/1/2020,19.0037,72.894,114.13,13.86,16.92,147.71,119.42,3.46,44.57
1/1/2020,19.0071,72.8944,61.49,25.61,38.15,85.65,107.15,18.43,26.35
1/1/2020,19.0073,72.8967,67.27,0.45,44.49,73.9,10.97,4.94,20.17
1/1/2020,19.0101,72.8945,128.67,14.27,19.43,88.9,255.66,12.55,58.69
1/1/2020,19.0235,72.892,96.61,15.71,27.97,161.08,0.41,3.81,31.6
1/1/2020,19.0134,72.9023,35.91,28.68,28.4,240.74,170.45,9.12,42.24
1/1/2020,19.0223,72.8956,105.27,18.82,49.66,12.86,133.61,5.7,16.56
1/1/2020,19.0263,72.8911,63.31,17.54,33.68,166.21,212.13,8.7,26.21
1/1/2020,19.0408,72.8864,42.02,21.84,39.38,134.05,33.84,13.19,39.88
2/1/2020,19.0645,72.9075,14.34,5.38,3.99,7.55,17.3,1.27,9.98
2/1/2020,19.0671,72.8929,9.46,5.08,8.79,48.35,32.0,2.55,15.64
2/1/2020,19.0518,72.8819,74.76,9.1,55.95,214.32,196.14,14.45,24.77
2/1/2020,19.0384,72.9122,31.1,12.55,15.37,39.49,10.5,1.31,19.33
2/1/2020,19.0641,72.9238,41.38,12.33,11.32,69.93,24.06,5.92,16.69
2/1/2020,19.0683,72.9252,1.88,24.96,24.16,180.61,159.69,1.86,39.85
2/1/2020,19.0441,72.9069,26.16,2.59,5.0,48.07,12.44,3.34,4.57
2/1/2020,19.031,72.9258,27.86,8.09,6.49,6.23,19.61,1.44,20.87
2/1/2020,19.0212,72.8991,12.7,17.76,36.37,105.59,170.74,7.04,69.09
2/1/2020,19.0214,72.9271,34.83,8.91,12.08,66.68,46.21,3.43,13.24
2/1/2020,19.0025,72.8982,28.72,9.84,45.83,181.61,143.09,2.06,81.07
2/1/2020,18.9979,72.9027,104.55,34.84,48.61,195.8,222.69,11.01,33.45
2/1/2020,19.0077,72.9012,82.98,11.87,50.4,188.2,216.29,9.37,79.11
2/1/2020,19.0443,72.9363,15.67,4.82,9.78,55.27,54.91,4.45,2.71
2/1/2020,19.0421,72.9013,10.54,3.81,3.9,22.47,7.49,1.65,2.49
2/1/2020,19.0314,72.9465,4.71,3.19,2.61,21.21,4.96,0.58,5.73
2/1/2020,19.0324,72.8842,3.75,10.41,26.41,59.67,83.58,1.21,28.56
2/1/2020,18.9987,72.901,91.41,24.9,29.63,103.66,294.03,2.27,3.85
2/1/2020,18.999,72.9002,142.78,9.32,9.45,58.15,240.91,20.63,4.03
2/1/2020,18.9984,72.9001,65.04,4.98,20.81,62.22,193.34,9.57,20.65
2/1/2020,18.9979,72.9012,68.9,3.51,6.87,245.31,54.42,6.73,69.34
2/1/2020,19.0027,72.8941,112.86,39.09,12.07,166.95,261.55,2.87,64.69
2/1/2020,19.0037,72.894,114.4,15.35,18.1,146.43,119.92,4.52,43.75
2/1/2020,19.0071,72.8944,59.56,24.73,37.56,86.02,107.7,20.02,24.49
2/1/2020,19.0073,72.8967,68.81,2.37,42.62,74.61,11.93,5.53,18.93
2/1/2020,19.0101,72.8945,129.11,15.8,19.74,89.9,256.75,11.99,58.93
2/1/2020,19.0235,72.892,96.61,16.88,27.08,160.37,1.6,3.95,30.99
2/1/2020,19.0134,72.9023,37.63,28.82,28.67,241.8,168.53,7.63,41.65
2/1/2020,19.0223,72.8956,104.14,19.13,50.43,14.2,132.34,5.27,15.17
2/1/2020,19.0263,72.8911,62.32,18.43,35.17,167.98,212.18,7.92,27.91
2/1/2020,19.0408,72.8864,43.39,23.22,39.36,134.28,35.84,11.74,40.17
3/1/2020,19.0645,72.9075,13.96,4.46,3.22,9.34,17.0,2.32,10.39
3/1/2020,19.0671,72.8929,10.35,4.23,8.02,49.94,30.12,4.36,16.11
3/1/2020,19.0518,72.8819,76.5,10.38,56.41,213.09,194.6,13.63,26.04
3/1/2020,19.0384,72.9122,29.94,12.04,14.94,39.41,10.83,1.89,19.61
3/1/2020,19.0641,72.9238,40.02,11.21,12.23,68.71,25.65,4.85,16.17
3/1/2020,19.0683,72.9252,2.26,25.38,24.56,179.99,159.18,2.34,37.98
3/1/2020,19.0441,72.9069,26.18,2.69,5.92,48.24,12.64,4.17,5.45
3/1/2020,19.031,72.9258,29.49,8.01,6.99,6.49,20.25,1.22,19.65
3/1/2020,19.0212,72.8991,14.12,16.73,35.3,105.05,170.98,7.39,68.59
3/1/2020,19.0214,72.9271,33.07,10.39,12.32,66.44,45.75,2.99,13.37
3/1/2020,19.0025,72.8982,29.19,10.18,46.93,180.88,144.72,2.41,81.34
3/1/2020,18.9979,72.9027,106.11,33.7,49.08,197.43,221.98,12.27,34.68
3/1/2020,19.0077,72.9012,84.04,12.48,51.51,189.52,214.67,8.27,79.63
3/1/2020,19.0443,72.9363,14.26,5.59,10.2,53.82,55.59,3.12,3.23
3/1/2020,19.0421,72.9013,11.15,2.66,5.37,23.17,7.54,1.67,2.36
3/1/2020,19.0314,72.9465,5.4,2.91,3.51,21.93,6.26,1.39,4.66
3/1/2020,19.0324,72.8842,4.88,11.22,26.07,60.92,83.74,2.89,29.05
3/1/2020,18.9987,72.901,93.32,26.39,31.07,101.8,295.27,3.5,4.36
3/1/2020,18.999,72.9002,142.73,10.31,9.75,59.17,242.39,19.96,4.06
3/1/2020,18.9984,72.9001,63.94,6.53,20.89,63.03,193.24,8.09,21.16
3/1/2020,18.9979,72.9012,66.91,5.04,8.54,244.89,56.3,7.9,69.02
3/1/2020,19.0027,72.8941,113.52,40.26,13.2,166.23,260.9,4.85,66.27
3/1/2020,19.0037,72.894,115.28,17.24,19.43,144.94,120.06,3.96,44.81
3/1/2020,19.0071,72.8944,60.88,25.89,36.05,86.05,105.81,18.04,25.9
3/1/2020,19.0073,72.8967,67.22,3.87,44.19,76.51,13.53,7.33,17.88
3/1/2020,19.0101,72.8945,130.47,16.8,20.89,90.45,256.6,11.51,57.21
3/1/2020,19.0235,72.892,98.53,17.76,28.94,158.49,3.12,4.13,31.97
3/1/2020,19.0134,72.9023,38.43,27.27,30.31,241.1,169.66,6.98,42.45
3/1/2020,19.0223,72.8956,104.22,19.27,51.77,16.06,132.97,7.24,14.35
3/1/2020,19.0263,72.8911,63.51,16.7,35.5,169.8,213.64,9.57,26.01
3/1/2020,19.0408,72.8864,41.79,23.38,40.99,135.88,36.35,10.7,38.17
4/1/2020,19.0645,72.9075,15.47,3.36,4.49,10.62,18.79,0.68,10.78
4/1/2020,19.0671,72.8929,11.98,5.65,8.97,51.02,30.12,4.57,14.97
4/1/2020,19.0518,72.8819,74.84,12.1,56.69,213.46,194.64,13.72,27.43
4/1/2020,19.0384,72.9122,28.11,12.76,15.76,38.7,11.95,1.95,19.23
4/1/2020,19.0641,72.9238,39.9,11.46,12.18,67.48,26.3,3.89,17.25
4/1/2020,19.0683,72.9252,3.98,25.32,26.24,180.66,160.12,2.65,36.06
4/1/2020,19.0441,72.9069,26.93,4.58,6.24,49.52,14.53,2.28,3.53
4/1/2020,19.031,72.9258,29.4,9.28,6.65,7.19,22.0,2.36,18.52
4/1/2020,19.0212,72.8991,14.44,18.11,37.3,105.1,169.96,7.48,69.74
4/1/2020,19.0214,72.9271,34.63,8.82,14.15,65.02,46.48,4.05,13.63
4/1/2020,19.0025,72.8982,30.05,10.95,46.45,180.09,146.39,3.15,82.55
4/1/2020,18.9979,72.9027,104.36,33.62,47.35,195.5,223.05,12.55,34.63
4/1/2020,19.0077,72.9012,82.57,12.69,50.3,189.86,213.85,6.75,81.5
4/1/2020,19.0443,72.9363,13.98,4.06,10.59,53.47,55.0,3.7,3.16
4/1/2020,19.0421,72.9013,10.61,3.36,5.59,22.84,8.47,3.23,2.7
4/1/2020,19.0314,72.9465,5.73,3.96,5.28,20.49,7.86,1.92,5.34
4/1/2020,19.0324,72.8842,5.17,9.25,25.6,60.22,82.72,4.51,29.35
4/1/2020,18.9987,72.901,94.72,27.58,31.6,102.56,295.29,4.46,5.71
4/1/2020,18.999,72.9002,141.56,11.93,11.6,60.73,242.44,21.72,4.48
4/1/2020,18.9984,72.9001,63.41,8.37,22.66,64.86,194.53,7.42,21.08
4/1/2020,18.9979,72.9012,67.45,5.83,9.62,245.5,57.22,8.86,67.9
4/1/2020,19.0027,72.8941,112.56,40.85,13.47,167.87,262.08,4.86,65.15
4/1/2020,19.0037,72.894,113.85,19.11,20.12,146.31,120.51,3.98,42.92
4/1/2020,19.0071,72.8944,60.7,24.74,37.53,86.34,103.94,16.72,25.34
4/1/2020,19.0073,72.8967,68.89,4.67,43.73,77.23,14.33,5.6,16.07
4/1/2020,19.0101,72.8945,131.36,18.28,21.11,91.38,254.64,12.87,56.23
4/1/2020,19.0235,72.892,97.49,17.94,28.15,160.13,4.27,4.94,31.57
4/1/2020,19.0134,72.9023,38.79,27.21,30.33,241.35,169.83,6.58,43.49
4/1/2020,19.0223,72.8956,104.09,21.13,53.63,16.06,133.73,8.47,14.3
4/1/2020,19.0263,72.8911,62.11,17.98,36.0,171.23,213.59,10.81,26.76
4/1/2020,19.0408,72.8864,41.39,24.5,40.74,134.94,36.61,9.95,36.53
